"","Risk.group","Num.events","Weighted.risk.group","hazard","hazard.weight","events.per.1000.people"
"Age 25",248756,70,248721,0.000280355490762287,0.000311516775178343,0.280355490762287
"Age 26",257680,92,257634,0.000355662769839797,0.000395788296281956,0.355662769839797
"Age 27",265083,88,265039,0.00033064434316374,0.000367114852716024,0.33064434316374
"Age 28",271873,95,271825.5,0.000347973876319096,0.000385161159537807,0.347973876319096
"Age 29",278940,123,278878.5,0.000439081854853104,0.000484498986688095,0.439081854853104
"Age 30",285656,115,285598.5,0.000400737356736395,0.000440094524650077,0.400737356736395
"Age 31",292477,113,292420.5,0.000384527694501254,0.000420553530323584,0.384527694501254
"Age 32",299117,130,299052,0.000432419486817858,0.000471286848740486,0.432419486817858
"Age 33",304486,140,304416,0.000457345956081721,0.000495864841411798,0.457345956081721
"Age 34",310375,166,310292,0.000531780278640052,0.000574177905219139,0.531780278640052
"Age 35",315455,181,315364.5,0.00057027451944132,0.000613831905015448,0.57027451944132
"Age 36",319686,168,319602,0.000522050415154378,0.00055921616534158,0.522050415154378
"Age 37",324268,203,324166.5,0.000621528777088551,0.00066302168048234,0.621528777088551
"Age 38",328680,220,328570,0.000664064740275225,0.000706249829456717,0.664064740275225
"Age 39",331609,225,331496.5,0.000672667860527551,0.000713976324545078,0.672667860527551
"Age 40",334107,248,333983,0.000735148081945297,0.00077896052743166,0.735148081945297
"Age 41",335466,262,335335,0.000772840839033772,0.00081831271414338,0.772840839033772
"Age 42",335674,304,335522,0.000894965231778331,0.000946965272229153,0.894965231778331
"Age 43",333984,349,333809.5,0.00103093697105401,0.00108995740109183,1.03093697105401
"Age 44",331965,389,331770.5,0.00115429239502319,0.00122164542134205,1.15429239502319
"Age 45",328740,398,328541,0.00119039785608748,0.00125928445432325,1.19039785608748
"Age 46",325069,451,324843.5,0.00136154231649368,0.00144046657063556,1.36154231649368
"Age 47",320060,491,319814.5,0.00150170815479522,0.00158989976507693,1.50170815479522
"Age 48",315230,482,314989,0.00149322626715119,0.00158147119474899,1.49322626715119
"Age 49",309818,576,309530,0.00181039278608763,0.00191854510329667,1.81039278608763
"Age 50",304599,602,304298,0.00191843771610309,0.00203395213455168,1.91843771610309
"Age 51",299995,616,299687,0.0019848046449584,0.0021042814954746,1.9848046449584
"Age 52",295504,724,295142,0.00235894394901553,0.00249944763588157,2.35894394901553
"Age 53",289553,718,289194,0.00237608297096413,0.00251556021140516,2.37608297096413
"Age 54",284980,762,284599,0.00254915145371885,0.00269472671687157,2.54915145371885
"Age 55",279902,787,279508.5,0.0026643465072347,0.00281709298912538,2.6643465072347
"Age 56",274078,868,273644,0.00298381247357367,0.0031532619732227,2.98381247357367
"Age 57",267497,878,267058,0.00307332577253189,0.00324531914461076,3.07332577253189
"Age 58",261170,929,260705.5,0.00330818071426791,0.00348979825660348,3.30818071426791
"Age 59",254783,946,254310,0.00342636928002782,0.00361959094030927,3.42636928002782
"Age 60",247750,1088,247206,0.00402008564851593,0.00424556371759977,4.02008564851593
"Age 61",240959,1111,240403.5,0.00418340719877397,0.00441729304624242,4.18340719877397
"Age 62",234107,1176,233519,0.00451101862329542,0.00476358289484877,4.51101862329542
"Age 63",226661,1285,226018.5,0.00503534538158905,0.00531799323352612,5.03534538158905
"Age 64",219035,1346,218362,0.00539608723540731,0.00570614618926091,5.39608723540731
"Age 65",211228,1353,210551.5,0.00556179013183046,0.00588724169890218,5.56179013183046
"Age 66",203615,1354,202938,0.00570518438616598,0.0060431051027194,5.70518438616598
"Age 67",195587,1441,194866.5,0.00623947278403457,0.00662046278918581,6.23947278403457
"Age 68",187630,1548,186856,0.00690233288150103,0.00733866666666667,6.90233288150103
"Age 69",178923,1662,178092,0.00766265860135733,0.00814576109198289,7.66265860135733
"Age 70",170821,1605,170018.5,0.0076413652572593,0.00809690047622891,7.6413652572593
"Age 71",163886,1682,163045,0.00821670208348599,0.00870341383904894,8.21670208348599
"Age 72",157715,1885,156772.5,0.00943108304856633,0.00999424734304127,9.43108304856633
"Age 73",151615,1964,150633,0.0100610630711856,0.0106527522774055,10.0610630711856
"Age 74",145894,2072,144858,0.010866145035766,0.0115001540199199,10.866145035766
"Age 75",140951,2163,139869.5,0.0115809030213146,0.0122670160185792,11.5809030213146
"Age 76",136104,2348,134930,0.0128236637010579,0.0136115547491167,12.8236637010579
"Age 77",131355,2595,130057.5,0.0144912968454206,0.0154255856669857,14.4912968454206
"Age 78",126605,2726,125242,0.0156007668755544,0.0166236744052737,15.6007668755544
"Age 79",120486,2817,119077.5,0.016704717288819,0.0178453780660855,16.704717288819
"Age 80",113894,3013,112387.5,0.0186460712053419,0.0199781851214572,18.6460712053419
"Age 81",106715,3064,105183,0.0199610420914794,0.0214731987987904,19.9610420914794
"Age 82",99721,3266,98088,0.0224952819142342,0.024286410095294,22.4952819142342
"Age 83",92890,3304,91238,0.0242049508794807,0.0262836550508928,24.2049508794807
"Age 84",85456,3472,83720,0.0273834311313017,0.0298931526427717,27.3834311313017
"Age 85",75385,3427,73671.5,0.0304141003567688,0.0333961887220866,30.4141003567688
"Age 86",61540,2974,60053,0.032133287233123,0.0354820621115048,32.133287233123
"Age 87",49609,2661,48278.5,0.0354412508990171,0.039462854346327,35.4412508990171
"Age 88",39272,2191,38176.5,0.0366516669733518,0.0411687335588125,36.6516669733518
"Age 89",30546,1942,29575,0.0416193394912239,0.0471399269355406,41.6193394912239
"Age 90",23363,1645,22540.5,0.0460371655658793,0.0528081411213303,46.0371655658793
"Age 91",17291,1345,16618.5,0.0506229063946705,0.058801670054867,50.6229063946705
"Age 92",12465,1057,11936.5,0.0551152362081552,0.0648247523841649,55.1152362081552
"Age 93",8668,856,8240,0.0637236655996427,0.0763808334076916,63.7236655996427
"Age 94",5727,567,5443.5,0.0631332813717849,0.0777031656845279,63.1332813717849
"Age 95",3585,368,3401,0.0655620880099768,0.0816779491732327,65.5620880099768
"Age 96",2205,284,2063,0.0835785756327251,0.106168224299065,83.5785756327251
"Age 97",1275,166,1192,0.0850409836065574,0.109824677472709,85.0409836065574
"Age 98",689,82,648,0.0765639589169001,0.100985221674877,76.5639589169001
"Age 99",360,47,336.5,0.0849909584086799,0.11244019138756,84.9909584086799
"Age 100",177,29,162.5,0.102473498233216,0.146095717884131,102.473498233216
"Age 101",69,10,64,0.087719298245614,0.132450331125828,87.719298245614
"Age 102",22,0,22,0,0,0
"Age 103",8,1,7.5,0.0909090909090909,0.181818181818182,90.9090909090909
"Age 104",0,0,0,NA,NA,NA
